product_id;price;product;brand;unit_price;units;categories;discount;date
265705;12.59;DODOT Pants pañales +15 kg talla 6 paquete 27 uds;DODOT;0.47;€/ud.;['Bebé', 'Pañales'];;2023-03-26
177733;1.09;BONTE loción hidratante formato viaje botella 50 ml;BONTE;21.8;€/l.;['Cuidado personal', 'Cuidado corporal', 'Hidratación corporal'];;2023-03-26
284387;1.15;DIA MARI MARINERA filetes de caballa del sur en aceite de girasol lata 85 gr;DIA MARI MARINERA;13.53;€/Kg.;['Despensa', 'Conservas', 'Conservas de pescado'];;2023-03-26
125616;2.95;DIA NATURMUNDO avellanas tostadas bolsa 200 gr;DIA NATURMUNDO;14.75;€/Kg.;['Despensa', 'Aperitivos'];;2023-03-26
283888;1.25;DIA IMAQE discos de algodón ovalados bolsa 70 uds;DIA IMAQE;1.25;€/ud.;['Cuidado personal', 'Cuidado corporal', 'Limpieza facial'];;2023-03-26
74305;2.35;DIA GRANDIA copos de arroz y trigo integral paquete 500 gr;DIA GRANDIA;4.7;€/Kg.;['Despensa', 'Desayunos y dulces', 'Cereales'];;2023-03-26
238338;2.79;VILEDA estropajo con fibra paquete 3 uds;VILEDA;0.93;€/ud.;['Cuidado del hogar', 'Utensilios de limpieza'];;2023-03-26
151018;1.65;CASA TARRADELLAS masa fina para pizza rollo 260 gr;CASA TARRADELLAS;6.35;€/Kg.;['Despensa', 'Pastas. harinas y masas', 'Masas y hojaldres'];;2023-03-26
146093;4.99;VIVISIMA+ jalea real envase 12 viales;VIVISIMA;0.42;€/ud.;['Despensa', 'Dietéticos', 'Complementos nutricionales'];;2023-03-26
289806;2.49;BIAZOO snack para perros sticks de cuero natural bolsa 100 gr;BIAZOO;24.9;€/Kg.;['Mascotas', 'Perros'];;2023-03-26
143549;2.79;HORNIMANS té silueta estuche 20 bolsitas;HORNIMANS;0.14;€/ud.;['Despensa', 'Desayunos y dulces', 'Infusiones'];;2023-03-26
244789;4.19;SELECCIÓN DE DIA hamburguesas de cerdo y vacuno bandeja 6 uds 540 gr;SELECCIÓN DE DIA;7.76;€/Kg.;['Frescos', 'Carne', 'Mixto'];;2023-03-26
73676;1.29;PASCUAL leche entera envase 1 lt;PASCUAL;1.29;€/l.;['Despensa', 'Lácteos y huevos', 'Leche'];;2023-03-26
244234;2.59;ORTIZ pan tostado tradicional paquete 324 gr;ORTIZ;7.99;€/Kg.;['Despensa', 'Pan', 'Biscotes'];;2023-03-26
277773;1.25;DIA ZUMOSFERA néctar de piña envase 1 lt;DIA ZUMOSFERA;1.25;€/l.;['Bebidas', 'Zumos'];;2023-03-26
87057;3.25;MARDEL dulce de leche frasco 450 gr;MARDEL;7.22;€/Kg.;['Despensa', 'Desayunos y dulces', 'Cacao y cremas de cacao'];;2023-03-26
26327;1.69;DIA SUPER PACO abrillantador para lavavajillas máquina botella 1 lt;DIA SUPER PACO;1.69;€/l.;['Cuidado del hogar', 'Lavavajillas'];;2023-03-26
198528;3.29;FLORETTE ensalada de pasta y rúcula tarrina 320 gr;FLORETTE;10.28;€/Kg.;['Platos preparados', 'Ensaladas'];;2023-03-26
150843;0.65;CAPRI-SUN zumo de naranja envase 200 ml;CAPRI;3.25;€/l.;['Bebidas', 'Zumos'];;2023-03-26
227141;1.05;DIA esponja con fibra verde 3 uds;DIA;0.35;€/ud.;['Cuidado del hogar', 'Utensilios de limpieza'];;2023-03-26
74722;1.78;ASTURIANA leche desnatada botella 1.5 lt;ASTURIANA;1.19;€/l.;['Despensa', 'Lácteos y huevos', 'Leche'];;2023-03-26
101720;1.3;LUENGO garbanzos cocidos frasco 400 gr;LUENGO;3.25;€/Kg.;['Despensa', 'Arroz y legumbres', 'Legumbres'];;2023-03-26
250333;2.59;NATURE VALLEY barrita de cereales crunchy avena y miel caja 210 gr;NATURE VALLEY;12.33;€/Kg.;['Despensa', 'Desayunos y dulces', 'Cereales'];;2023-03-26
290037;3.79;VERNEL suavizante concentrado aromaterapia lirio botella 70 lv;VERNEL;0.05;€/Lavado;['Cuidado del hogar', 'Cuidado de la ropa'];;2023-03-26
273731;1.99;DIA NUESTRA ALACENA pechuga de pavo bajo en sal finas lonchas envase 200 gr;DIA NUESTRA ALACENA;9.95;€/Kg.;['Frescos', 'Charcutería y quesos', 'Cocidos'];;2023-03-26
176704;18.99;PROTOS CRIANZA vino tinto crianza DO Ribera del Duero botella 75 cl;PROTOS CRIANZA;25.32;€/l.;['Bodega', 'Vino', 'Tinto'];;2023-03-26
154737;4.19;MERY fregona 100 % microfibras bolsa 1 ud;MERY;4.19;€/ud.;['Cuidado del hogar', 'Utensilios de limpieza'];;2023-03-26
30319;9.84;COCA-COLA clásica pack 12 latas 33 cl;COCA;2.48;€/l.;['Bebidas', 'Refrescos'];;2023-03-26
219103;0.95;DIA cocktail frutos secos mix fun bolsa 200 gr;DIA;4.75;€/Kg.;['Despensa', 'Aperitivos'];;2023-03-26
275251;0.79;DIA LACTEA yogur sabor plátano pack 4 unidades 125 gr;DIA LACTEA;1.58;€/Kg.;['Despensa', 'Lácteos y huevos', 'Yogures'];;2023-03-26
276691;2.19;DIA LA LLAMA papel de cocina reciclado paquete 2 uds;DIA LA LLAMA;1.1;€/ud.;['Cuidado del hogar', 'Papel'];;2023-03-26
282717;15.09;WIPP EXPRESS detergente máquina líquido limpio y liso botella 60 lv;WIPP EXPRESS;0.25;€/Lavado;['Cuidado del hogar', 'Cuidado de la ropa'];;2023-03-26
255481;10.34;DIA EL CENCERRO queso mezcla curado pieza 860 gr;DIA EL CENCERRO;12.02;€/Kg.;['Frescos', 'Charcutería y quesos', 'Quesos'];;2023-03-26
26442;3.59;DIA MARI MARINERA medallones de merluza del cabo MSC bolsa 475 gr;DIA MARI MARINERA;7.56;€/Kg.;['Congelados', 'Pescado y marisco'];;2023-03-26
270470;5.09;BODY NATUR manteca corporal de coco tarro 200 ml;BODY NATUR;25.45;€/l.;['Cuidado personal', 'Cuidado corporal', 'Hidratación corporal'];;2023-03-26
205791;0.75;DIA ZUMOSFERA zumo tropical sin azúcares añadidos envase 1 lt;DIA ZUMOSFERA;0.75;€/l.;['Bebidas', 'Zumos'];;2023-03-26
289027;1.85;TDOY AIR ambientador perlas  lima bote 110 gr;TDOY AIR;16.82;€/Kg.;['Cuidado del hogar', 'Ambientadores'];;2023-03-26
240523;1.19;ASTURIANA leche entera sin lactosa envase 1 lt;ASTURIANA;1.19;€/l.1,30 €/l.;['Despensa', 'Lácteos y huevos', 'Leche'];;2023-03-26
273843;1.3;DIA IMAQE jabón de manos líquido oliva dosificador 500 ml;DIA IMAQE;2.6;€/l.;['Cuidado personal', 'Baño e higiene personal', 'Jabón'];;2023-03-26
186097;2.85;DIA BÍFIDUS cremoso de higo. ciruela. fresa y frutos del bosque pack 8 unidades 125 gr;DIA BÍFIDUS;2.85;€/Kg.;['Despensa', 'Lácteos y huevos', 'Yogures'];;2023-03-26
198131;3.19;NB PALMOLIVE gel de ducha leche y miel bote 550 ml;NB PALMOLIVE;4.91;€/l.;['Cuidado personal', 'Baño e higiene personal', 'Geles de duchas y esponjas'];;2023-03-26
238826;2.99;GLADE BY BRISE ambientador absorbeolores aroma lavanda 1 ud;GLADE BY BRISE;2.99;€/ud.;['Cuidado del hogar', 'Ambientadores'];;2023-03-26
270984;1.15;NATURE VALLEY barrita de cereales crunchy avena y miel envase 42 gr;NATURE VALLEY;27.38;€/Kg.;['Despensa', 'Desayunos y dulces', 'Cereales'];;2023-03-26
286145;1.79;KELSIA quitaesmalte acetona pura bote 200 ml;KELSIA;8.95;€/l.;['Cuidado personal', 'Cuidado corporal', 'Cosmética'];;2023-03-26
57900;10.99;SMIRNOFF vodka botella 70 cl;SMIRNOFF;15.7;€/l.;['Bodega', 'Alcoholes', 'Vodka'];;2023-03-26
290785;3.75;DIA EL CENCERRO queso de oveja añejo cuña 250 gr;DIA EL CENCERRO;15.0;€/Kg.;['Frescos', 'Charcutería y quesos', 'Quesos'];;2023-03-26
280092;0.45;DIA RAMBLERS cerveza 100% malta lata 33 cl;DIA RAMBLERS;1.36;€/l.;['Bebidas', 'Cervezas', 'Especiales'];;2023-03-26
262263;2.8;ROYAL gelatina sabor limón caja 114 gr;ROYAL;24.56;€/Kg.;['Despensa', 'Desayunos y dulces', 'Preparación de postres'];;2023-03-26
