date;product;product_id;brand;price;categories;unit_price;units;discount
2022-11-21;DIA MARI MARINERA langostino cocido 24/32 piezas caja 800 gr;8456;DIA MARI MARINERA;7.99;['Congelados', 'Pescado y marisco'];9.99;€/Kg.;
2022-11-21;DIA ZUMOSFERA zumo de naranja 100% sin pulpa pack 3 unidades 200 ml;277771;DIA ZUMOSFERA;1.05;['Bebidas', 'Zumos'];1.75;€/l.;
2022-11-21;DODOT Pants pañales +15 kg talla 6 paquete 27 uds;265705;DODOT;12.59;['Bebé', 'Pañales'];0.47;€/ud.;
2022-11-21;BONTE loción hidratante formato viaje botella 50 ml;177733;BONTE;1.05;['Cuidado personal', 'Cuidado corporal', 'Hidratación corporal'];10.5;€/l.;
2022-11-21;DIA MARI MARINERA filetes de caballa del sur en aceite de girasol lata 85 gr;284387;DIA MARI MARINERA;1.19;['Despensa', 'Conservas', 'Conservas de pescado'];14.0;€/Kg.;
2022-11-21;Calabacín unidad (790 gr aprox.);93;;1.73;['Frescos', 'Verduras y hortalizas', 'Calabacín. calabaza y berenjena'];2.19;€/Kg.;
2022-11-21;DIA NATURMUNDO avellanas tostadas bolsa 200 gr;125616;DIA NATURMUNDO;2.95;['Despensa', 'Aperitivos'];14.75;€/Kg.;
2022-11-21;VILEDA estropajo con fibra paquete 3 uds;238338;VILEDA;2.79;['Cuidado del hogar', 'Utensilios de limpieza'];0.93;€/ud.;
2022-11-21;CASA TARRADELLAS masa fina para pizza rollo 260 gr;151018;CASA TARRADELLAS;1.89;['Despensa', 'Pastas. harinas y masas', 'Masas y hojaldres'];7.27;€/Kg.;
2022-11-21;VIVISIMA+ jalea real envase 12 viales;146093;VIVISIMA;4.89;['Despensa', 'Dietéticos', 'Complementos nutricionales'];0.41;€/ud.;
2022-11-21;HORNIMANS té silueta estuche 20 bolsitas;143549;HORNIMANS;2.65;['Despensa', 'Desayunos y dulces', 'Infusiones'];0.13;€/ud.;
2022-11-21;SELECCIÓN DE DIA hamburguesas de cerdo y vacuno bandeja 6 uds 540 gr;244789;SELECCIÓN DE DIA;3.99;['Frescos', 'Carne', 'Mixto'];7.39;€/Kg.;
2022-11-21;PASCUAL leche entera envase 1 lt;73676;PASCUAL;1.19;['Despensa', 'Lácteos y huevos', 'Leche'];1.19;€/l.;
2022-11-21;DIA ZUMOSFERA néctar de piña envase 1 lt;277773;DIA ZUMOSFERA;1.0;['Bebidas', 'Zumos'];1.0;€/l.;
2022-11-21;MARDEL dulce de leche frasco 450 gr;87057;MARDEL;2.79;['Despensa', 'Desayunos y dulces', 'Cacao y cremas de cacao'];6.2;€/Kg.;
2022-11-21;DIA SUPER PACO abrillantador para lavavajillas máquina botella 1 lt;26327;DIA SUPER PACO;1.79;['Cuidado del hogar', 'Lavavajillas'];1.79;€/l.;
2022-11-21;FLORETTE ensalada de pasta y rúcula tarrina 320 gr;198528;FLORETTE;2.69;['Platos preparados', 'Ensaladas'];8.41;€/Kg.;
2022-11-21;CAPRI-SUN zumo de naranja envase 200 ml;150843;CAPRI;0.69;['Bebidas', 'Zumos'];3.45;€/l.;
2022-11-21;DIA esponja con fibra verde 3 uds;227141;DIA;1.05;['Cuidado del hogar', 'Utensilios de limpieza'];0.35;€/ud.;
2022-11-21;ASTURIANA leche desnatada botella 1.5 lt;74722;ASTURIANA;1.65;['Despensa', 'Lácteos y huevos', 'Leche'];1.1;€/l.;
2022-11-21;LUENGO garbanzos cocidos frasco 400 gr;101720;LUENGO;1.35;['Despensa', 'Arroz y legumbres', 'Legumbres'];3.38;€/Kg.;
2022-11-21;NATURE VALLEY barrita de cereales crunchy avena y miel caja 210 gr;250333;NATURE VALLEY;2.69;['Despensa', 'Desayunos y dulces', 'Cereales'];12.81;€/Kg.;
2022-11-21;DOLCE GUSTO cortado espresso macchiato 16 cápsulas caja 100 gr;122969;DOLCE GUSTO;4.89;['Despensa', 'Desayunos y dulces', 'Café'];0.31;€/ud.;
2022-11-21;DIA NUESTRA ALACENA pechuga de pavo bajo en sal finas lonchas envase 200 gr;273731;DIA NUESTRA ALACENA;1.95;['Frescos', 'Charcutería y quesos', 'Cocidos'];9.75;€/Kg.;
2022-11-21;PROTOS CRIANZA vino tinto crianza DO Ribera del Duero botella 75 cl;176704;PROTOS CRIANZA;17.55;['Bodega', 'Vino', 'Tinto'];23.4;€/l.;
2022-11-21;MERY fregona 100 % microfibras bolsa 1 ud;154737;MERY;4.19;['Cuidado del hogar', 'Utensilios de limpieza'];4.19;€/ud.;
2022-11-21;COCA-COLA clásica pack 12 latas 33 cl;30319;COCA;9.49;['Bebidas', 'Refrescos'];2.4;€/l.;
2022-11-21;DIA cocktail frutos secos mix fun bolsa 200 gr;219103;DIA;0.95;['Despensa', 'Aperitivos'];4.75;€/Kg.;
